day,slot,card_id,category,depth,option_a,option_b,anchor
1,1,lifestyle-pace-s01,Lifestyle Pace,surface,Up before the alarm,Snooze is a lifestyle,false
1,2,romance-affection-s01,Romance & Affection,surface,Handwritten note on the counter,Good-morning text before nine,false
1,3,money-resources-m01,Money & Resources,medium,I grew up careful with money,I grew up loose with money,false
2,1,daily-life-s01,Daily Life & Aesthetic,surface,Bed made every morning,Bed made when guests come,false
2,2,conflict-style-s01,Conflict Style,surface,Settle it tonight,Sleep on it first,false
2,3,social-energy-m01,Social Energy,medium,I need us to have a social life together,I need us to have social lives apart,false
3,1,values-worldview-s01,Values & Worldview,surface,People are basically good,People are basically self-interested,false
3,2,phones-online-s01,Phones & Online Life,surface,Phone dies at a restaurant: panic,Phone dies at a restaurant: freedom,false
3,3,future-ambition-m01,Future & Ambition,medium,My ambition has cost me relationships,My relationships have cost me ambition,false
4,1,inner-world-s01,Inner World & Reassurance,surface,"Overthinker, certified","Underthinker, blissfully",false
4,2,family-roots-s01,Family & Roots,surface,Sunday calls with family,Holiday calls with family,false
4,3,lifestyle-pace-m01,Lifestyle Pace,medium,I need a slow morning or the day feels stolen,I need momentum by nine or the day drifts,false
5,1,money-resources-s01,Money & Resources,surface,Split the bill evenly,Take turns covering it,false
5,2,romance-affection-s02,Romance & Affection,surface,Surprise me,Tell me what's coming,false
5,3,daily-life-m01,Daily Life & Aesthetic,medium,Mess stresses me out fast,Mess barely registers,false
6,1,social-energy-s01,Social Energy,surface,Party: kitchen conversation,Party: center of the room,false
6,2,conflict-style-s02,Conflict Style,surface,Debating is fun,Debating is exhausting,false
6,3,values-worldview-m01,Values & Worldview,medium,I could love someone who votes differently,"Shared politics is a floor, not a bonus",false
7,1,future-ambition-s01,Future & Ambition,surface,"Five-year plan, written down","Five-year vibe, loosely held",false
7,2,phones-online-s02,Phones & Online Life,surface,I post stories weekly,"I lurk, mostly",false
7,3,lifestyle-pace-m12,Lifestyle Pace,medium,"I'd rather find out fast, even if it stings","I'd rather let this unfold, even if it's slow",true
8,1,family-roots-s02,Family & Roots,surface,I'm the family's organizer,I'm the family's wildcard,false
8,2,lifestyle-pace-s02,Lifestyle Pace,surface,Plans locked by Thursday,Saturday decides itself,false
8,3,romance-affection-m01,Romance & Affection,medium,I show love by doing things for you,I show love by saying things to you,false
9,1,money-resources-s02,Money & Resources,surface,"Save up, buy the good one",Buy the fine one today,false
9,2,daily-life-s02,Daily Life & Aesthetic,surface,Shoes off at the door,"Shoes on, life is short",false
9,3,conflict-style-m01,Conflict Style,medium,When it gets heated I need to pause,When it gets heated I need to finish,false
10,1,social-energy-s02,Social Energy,surface,Plans cancelled: secretly thrilled,Plans cancelled: genuinely bummed,false
10,2,values-worldview-s02,Values & Worldview,surface,Luck explains a lot,Effort explains a lot,false
10,3,phones-online-m01,Phones & Online Life,medium,Being left on read genuinely stings,Being left on read means nothing,false
11,1,future-ambition-s02,Future & Ambition,surface,Dream job: build my own thing,Dream job: master a craft inside a team,false
11,2,inner-world-s02,Inner World & Reassurance,surface,I narrate my life internally,My head is mostly quiet,false
11,3,family-roots-m01,Family & Roots,medium,I'm close to my family by choice,I'm close to my family by obligation,false
12,1,lifestyle-pace-s03,Lifestyle Pace,surface,"One bag, ready in an hour","Packing list, three days out",false
12,2,romance-affection-s03,Romance & Affection,surface,Compliment my mind,Compliment my look,false
12,3,money-resources-m02,Money & Resources,medium,Debt is a tool,Debt is a weight,false
13,1,daily-life-s03,Daily Life & Aesthetic,surface,Cook most nights,Order most nights,false
13,2,conflict-style-s03,Conflict Style,surface,"I say sorry first, usually",I need a minute before sorry,false
13,3,social-energy-m02,Social Energy,medium,"If my friends don't love you, it matters","My friends' take is data, not verdict",false
